,"Fixed-timing
(Project 4)","Hand-built heuristic
(Notebook 1)","GNN imitation
(this notebook)"
Avg. wait (s),45.96,24.04,66.26477221470455
Avg. cars in system,58.8,30.5,97.03555555555556
